user_id,email,full_name,signup_date
1,john.doe@email.com,John Doe,2024-01-15T10:30:00
2,jane.smith@email.com,Jane Smith,2024-01-16T14:20:00
3,bob.wilson@email.com,Bob Wilson,2024-01-17T09:15:00
4,alice.brown@email.com,Alice Brown,2024-01-18T11:45:00
5,charlie.davis@email.com,Charlie Davis,2024-01-19T16:30:00
6,diana.miller@email.com,Diana Miller,2024-01-20T13:10:00
7,frank.moore@email.com,Frank Moore,2024-01-21T10:50:00
8,grace.taylor@email.com,Grace Taylor,2024-01-22T15:25:00
9,henry.anderson@email.com,Henry Anderson,2024-01-23T12:40:00
10,iris.thomas@email.com,Iris Thomas,2024-01-24T14:55:00
